id_usuario,id_pelicula,rating,resenias
Gabriel050719797224087631,TheDarkKnight18072008,10,"{id_resenia: 'resenia28', contenido: 'Una obra maestra del cine de superhéroes. Heath Ledger como el Joker es increíble.', creation_date: '2023-06-06 06:00:00.000+0000'}"
LauraMartinez271019935509238476,GrownUps25062010,6,"{id_resenia: 'resenia15', contenido: 'No fue mi tipo de comedia, no me hizo reír mucho.', creation_date: '2023-01-24 15:30:00.000+0000'}"
Santiago180419924421050928,GrownUps25062010,6,"{id_resenia: 'resenia26', contenido: 'Una comedia ligera y entretenida para pasar el rato con amigos.', creation_date: '2023-06-06 06:00:00.000+0000'}"
Luisa100620007224087631,TheDarkKnight18072008,10,"{id_resenia: 'resenia18', contenido: '¡Una película de Batman increíble! La actuación de Heath Ledger como el Joker es fenomenal.', creation_date: '2023-06-06 06:00:00.000+0000'}"
Esmeralda250919905552468135,Rush27092013,8,"{id_resenia: 'resenia3', contenido: 'Me gustó mucho esta película. Las actuaciones son excelentes y la historia es emocionante.', creation_date: '2023-01-21 00:45:00.000+0000'}"
AnaGarcia110719885578152098,Inception22072010,9,"{id_resenia: 'resenia9', contenido: 'Me encantó esta película. La trama es compleja y sorprendente.', creation_date: '2023-01-22 19:25:00.000+0000'}"
Diego140319748184092573,Inception22072010,9,"{id_resenia: 'resenia21', contenido: 'Un viaje alucinante a través de los sueños. ¡Muy recomendada!', creation_date: '2023-06-06 06:00:00.000+0000'}"
Valeria080719778184092573,TheShining23051980,9,"{id_resenia: 'resenia31', contenido: 'Un clásico del terror con una actuación brillante de Jack Nicholson. Me mantuvo en suspenso.', creation_date: '2023-06-06 06:00:00.000+0000'}"
MiguelHidalgo061119995513290489,JohnWick24102014,10,"{id_resenia: 'resenia6', contenido: '¡Esta película es impresionante! Las escenas de acción son increíbles.', creation_date: '2023-01-06 02:10:00.000+0000'}"
JuanaPerez150919855522187634,Interstellar05112014,8,"{id_resenia: 'resenia7', contenido: 'Me gustó el concepto de viajes interestelares en esta película.', creation_date: '2023-01-12 17:30:00.000+0000'}"
Laura200720016647213982,TheConjuring210062016,6,"{id_resenia: 'resenia20', contenido: 'Una película de terror que te mantendrá al borde del asiento.', creation_date: '2023-06-06 06:00:00.000+0000'}"
Juan150520034421050928,Interstellar05112014,8,"{id_resenia: 'resenia16', contenido: '¡Una película asombrosa! Me encantó la trama y los efectos visuales.', creation_date: '2023-06-06 06:00:00.000+0000'}"
PedroLopez280319925546298102,TheImitationGame14112014,9,"{id_resenia: 'resenia8', contenido: 'Esta película es fascinante. Alan Turing es un personaje increíble.', creation_date: '2023-01-17 22:40:00.000+0000'}"
Camila050220006642539176,Inception22072010,10,"{id_resenia: 'resenia35', contenido: 'Inception es una obra maestra del cine. La trama es intrigante y te mantiene al borde de tu asiento en todo momento. Las actuaciones son excelentes y los efectos visuales son impresionantes. Sin duda, una de mis películas favoritas.', creation_date: '2023-06-06 06:00:00.000+0000'}"
Isabella120319875512093876,RapidosFuriosos515042011,9,"{id_resenia: 'resenia27', contenido: 'Acción desenfrenada y carreras emocionantes. Me encanta la saga de Rápidos y Furiosos.', creation_date: '2023-06-06 06:00:00.000+0000'}"
Maria030419885512093876,Shrek215052004,9,"{id_resenia: 'resenia17', contenido: 'Una comedia animada muy divertida con personajes encantadores.', creation_date: '2023-06-06 06:00:00.000+0000'}"
Lucia010119854427109843,ElLoboDeWallStreet10012014,8,"{id_resenia: 'resenia33', contenido: 'El Lobo de Wall Street es una película fascinante que retrata la vida extravagante y desenfrenada de un corredor de bolsa. Leonardo DiCaprio ofrece una actuación brillante y la trama te mantiene cautivado de principio a fin.', creation_date: '2023-06-06 06:00:00.000+0000'}"
CarolinaRuiz191219915589764321,ToyStory213111999,10,"{id_resenia: 'resenia11', contenido: 'Amo esta película. Es un clásico de la infancia.', creation_date: '2023-01-04 23:55:00.000+0000'}"
Daniel150319995559876543,LaNocheDelDemonio17062010,7,"{id_resenia: 'resenia2', contenido: 'Es una película de terror decente. Me asusté en algunas escenas.', creation_date: '2023-01-15 21:30:00.000+0000'}"
Fernando070519934427109843,IRobot15072004,7,"{id_resenia: 'resenia23', contenido: 'Una historia futurista interesante sobre la relación entre humanos y robots.', creation_date: '2023-06-06 06:00:00.000+0000'}"
Sebastian220820056675089276,TheDarkKnight18072008,9,"{id_resenia: 'resenia32', contenido: 'The Dark Knight es una película increíblemente emocionante y llena de acción. Me encantó la actuación de Heath Ledger como el Joker.', creation_date: '2023-06-06 06:00:00.000+0000'}"
RicardoGomez140219895598765432,Shooter23032007,7,"{id_resenia: 'resenia14', contenido: 'Es una película de acción decente, pero la trama es predecible.', creation_date: '2023-01-19 21:00:00.000+0000'}"
Pedro280219953336092837,RapidosFuriosos515042011,7,"{id_resenia: 'resenia19', contenido: 'Una película llena de acción y carreras de autos emocionantes.', creation_date: '2023-06-06 06:00:00.000+0000'}"
Isabel011119963338790426,Shrek215052004,8,"{id_resenia: 'resenia24', contenido: 'Una película divertida y con personajes encantadores. ¡Me encanta Shrek!', creation_date: '2023-06-06 06:00:00.000+0000'}"
Azucena030419955557418529,Shrek215052004,9,"{id_resenia: 'resenia5', contenido: 'Esta película es muy divertida. Me encanta el personaje del Burro.', creation_date: '2023-01-30 20:20:00.000+0000'}"
Maximiliano140219996647213982,ToyStory213111999,8,"{id_resenia: 'resenia30', contenido: 'Una película animada clásica que aún me hace reír. Los personajes son adorables.', creation_date: '2023-06-06 06:00:00.000+0000'}"
Gabriel071119925551234567,TheDarkKnight18072008,9,"{id_resenia: 'resenia1', contenido: 'Me encantó esta película. La actuación de Heath Ledger como el Joker fue increíble.', creation_date: '2023-01-10 18:00:00.000+0000'}"
JorgeSanchez090819825553126789,ElLoboDeWallStreet10012014,9,"{id_resenia: 'resenia12', contenido: 'Esta película es increíblemente intensa y Leonardo DiCaprio hace un trabajo fenomenal.', creation_date: '2023-01-09 16:05:00.000+0000'}"
MariaLopez220619975532987654,LaLaLand09122016,8,"{id_resenia: 'resenia13', contenido: 'La música y las actuaciones en esta película son fantásticas.', creation_date: '2023-01-14 19:45:00.000+0000'}"
Emilio021219963338790426,Shrek215052004,9,"{id_resenia: 'resenia34', contenido: 'Shrek 2 es una película muy divertida y llena de humor. Me encantaron los personajes y las situaciones cómicas. Definitivamente la recomendaría.', creation_date: '2023-06-06 06:00:00.000+0000'}"
LuisHernandez030519965567489123,IRobot15072004,7,"{id_resenia: 'resenia10', contenido: 'Es una película entretenida, pero esperaba un poco más de acción.', creation_date: '2023-01-27 14:50:00.000+0000'}"
Alejandro250719826642539176,TheImitationGame14112014,9,"{id_resenia: 'resenia25', contenido: 'Una película fascinante basada en hechos reales. Benedict Cumberbatch hace un excelente trabajo como Alan Turing.', creation_date: '2023-06-06 06:00:00.000+0000'}"
